"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"445","Vendel et al.","2017","Atlantic, Southwest","Diapterus rhombeus","Gerreidae","Diapterus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,1176.1,20.9,NA,31,NA,1.08,NA,NA,37.9387096774194,0.674193548387097,NA,NA,0.0348387096774194,NA,"Vendel et al.2017"
"446","Vendel et al.","2017","Atlantic, Southwest","Eucinoctomus melanopterus","Gerreidae","Eucinostomus","Demersal","Subtropical","Least Concern","mainly animals","variable",3.4,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,469.3,3.8,NA,19,NA,0,NA,NA,24.7,0.2,NA,NA,0,NA,"Vendel et al.2017"
"447","Vendel et al.","2017","Atlantic, Southwest","Eucinostomus argenteus","Gerreidae","Eucinostomus","Demersal","Subtropical","Least Concern","mainly animals","variable",3.2,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,4868.4,154.4,NA,98,NA,0.92,NA,NA,49.6775510204082,1.57551020408163,NA,NA,0.00938775510204082,NA,"Vendel et al.2017"
"448","Vendel et al.","2017","Atlantic, Southwest","Eucinostomus melanopterus","Gerreidae","Eucinostomus","Demersal","Subtropical","Least Concern","mainly animals","variable",3.4,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,65,0.4,NA,2,NA,0,NA,NA,32.5,0.2,NA,NA,0,NA,"Vendel et al.2017"
"449","Vendel et al.","2017","Atlantic, Southwest","Eugerres brasilianus","Gerreidae","Eugerres","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,2721.7,91.53,NA,64,NA,2.82,NA,NA,42.5265625,1.43015625,NA,NA,0.0440625,NA,"Vendel et al.2017"
"450","Vendel et al.","2017","Atlantic, Southwest","Hyporhamphus roberti roberti","Hemiramphidae","Hyporhamphus","Pelagic-neritic","Subtropical","Least Concern","","",3,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,4673.1,117.6,NA,35,NA,0.93,NA,NA,133.517142857143,3.36,NA,NA,0.0265714285714286,NA,"Vendel et al.2017"
"451","Vendel et al.","2017","Atlantic, Southwest","Hyporhamphus unifasciatus","Hemiramphidae","Hyporhamphus","Reef-associated","Subtropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,27461,750.7,NA,209,NA,29.74,NA,NA,131.392344497608,3.59186602870813,NA,NA,0.142296650717703,NA,"Vendel et al.2017"
"452","Vendel et al.","2017","Atlantic, Southwest","Lycengraulis grossidens","Engraulidae","Lycengraulis","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,8942.8,338,NA,146,NA,26.32,NA,NA,61.2520547945205,2.31506849315068,NA,NA,0.18027397260274,NA,"Vendel et al.2017"
"453","Vendel et al.","2017","Atlantic, Southwest","Mugil curema","Mugilidae","Mugil","Reef-associated","Subtropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,7415.8,881.6,NA,186,NA,1,NA,NA,39.8698924731183,4.73978494623656,NA,NA,0.00537634408602151,NA,"Vendel et al.2017"
"454","Vendel et al.","2017","Atlantic, Southwest","Oligoplites saurus","Carangidae","Oligoplites","Reef-associated","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",4.3,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,1342.4,31,NA,22,NA,1.02,NA,NA,61.0181818181818,1.40909090909091,NA,NA,0.0463636363636364,NA,"Vendel et al.2017"
"455","Vendel et al.","2017","Atlantic, Southwest","Opisthonema oglinum","Clupeidae","Opisthonema","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,7480,1098.6,NA,56,NA,13.02,NA,NA,133.571428571429,19.6178571428571,NA,NA,0.2325,NA,"Vendel et al.2017"
"456","Vendel et al.","2017","Atlantic, Southwest","Poecilia vivipara","Poeciliidae","Poecilia","Benthopelagic","Tropical","Not Evaluated","mainly animals","hunting macrofauna",2.3,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,2407.3,98.1,NA,75,NA,7.11,NA,NA,32.0973333333333,1.308,NA,NA,0.0948,NA,"Vendel et al.2017"
"457","Vendel et al.","2017","Atlantic, Southwest","Polydactylus virginicus","Polynemidae","Polydactylus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,1421,140,NA,14,NA,0,NA,NA,101.5,10,NA,NA,0,NA,"Vendel et al.2017"
"458","Vendel et al.","2017","Atlantic, Southwest","Rhinosardinia bahiensis","Clupeidae","Rhinosardinia","Pelagic","Tropical","Not Evaluated","","",3.1,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,12208.4,446.9,NA,179,NA,33.46,NA,NA,68.2033519553073,2.49664804469274,NA,NA,0.186927374301676,NA,"Vendel et al.2017"
"459","Vendel et al.","2017","Atlantic, Southwest","Sciades herzbergii","Ariidae","Sciades","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,4149.3,498,NA,57,NA,4.08,NA,NA,72.7947368421053,8.73684210526316,NA,NA,0.071578947368421,NA,"Vendel et al.2017"
"460","Vendel et al.","2017","Atlantic, Southwest","Sphoeroides greeleyi","Tetraodontidae","Sphoeroides","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,2025.5,246.61,NA,31,NA,0,NA,NA,65.3387096774194,7.95516129032258,NA,NA,0,NA,"Vendel et al.2017"
"461","Vendel et al.","2017","Atlantic, Southwest","Sphoeroides testudineus","Tetraodontidae","Sphoeroides","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,3523.3,1194.6,NA,55,NA,1.98,NA,NA,64.06,21.72,NA,NA,0.036,NA,"Vendel et al.2017"
"462","Vendel et al.","2017","Atlantic, Southwest","Symphurus tessellatus","Cynoglossidae","Symphurus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","None","no","no","yes","no","","","no",NA,2960.4,321.2,NA,26,NA,1,NA,NA,113.861538461538,12.3538461538462,NA,NA,0.0384615384615385,NA,"Vendel et al.2017"
"463","Welden et al.","2018","Atlantic, Southwest","Pleuronectes platessa","Pleuronectidae","Pleuronectes","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.2,500,"None","None","Visual","FTIR","yes","yes","yes","no","Polypropylene","","no",NA,NA,NA,NA,109,54.5,159.14,111.18,NA,NA,NA,NA,0.5,1.46,1.02,"Welden et al.2018"
"464","Wesch et al.","2016","Atlantic, Northeast","Zoarces viviparus","Zoarcidae","Zoarces","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.5,20,"None","KOH","Visual","FTIR","yes","no","","","Cellophane","","no",NA,NA,NA,NA,150,0,0,NA,NA,NA,NA,NA,0,0,NA,"Wesch et al.2016"
"465","Wieczorek et al.","2018","Atlantic, Northeast","Benthosema glaciale","Myctophidae","Benthosema","Pelagic-oceanic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3,20,"None","NaOH","Visual","FTIR","yes","yes","yes","yes","Methyl cellulose","Black","no",NA,3997.17,NA,NA,69,47.0028,100.74,NA,NA,57.93,NA,NA,0.6812,1.46,NA,"Wieczorek et al.2018"
"466","Wieczorek et al.","2018","Atlantic, Northeast","Diaphus rafinesquii","Myctophidae","Diaphus","Bathypelagic","Deep-water","Least Concern","mainly animals","",3.4,20,"None","NaOH","Visual","FTIR","yes","yes","yes","yes","Methyl cellulose","Black","no",NA,2555.1,NA,NA,34,24.0006,39.1,NA,NA,75.15,NA,NA,0.7059,1.15,NA,"Wieczorek et al.2018"
"467","Wieczorek et al.","2018","Atlantic, Northeast","Gonostoma denudatum","Gonostomatidae","Gonostoma","Bathypelagic","Deep-water","Least Concern","mainly animals","",3.3,20,"None","NaOH","Visual","FTIR","yes","yes","yes","yes","Methyl cellulose","Black","no",NA,89.2,NA,NA,5,5,11,NA,NA,17.84,NA,NA,1,2.2,NA,"Wieczorek et al.2018"
"468","Wieczorek et al.","2018","Atlantic, Northeast","Lampanyctus macdonaldi","Myctophidae","Lampanyctus","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.1,20,"None","NaOH","Visual","FTIR","yes","yes","yes","yes","Methyl cellulose","Black","no",NA,3893.44,NA,NA,16,12,28,NA,NA,243.34,NA,NA,0.75,1.75,NA,"Wieczorek et al.2018"
"469","Wieczorek et al.","2018","Atlantic, Northeast","Myctophum punctatum","Myctophidae","Myctophum","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.4,20,"None","NaOH","Visual","FTIR","yes","yes","yes","yes","Methyl cellulose","Black","no",NA,5835.96,NA,NA,86,64.0012,196.08,NA,NA,67.86,NA,NA,0.7442,2.28,NA,"Wieczorek et al.2018"
"470","Wieczorek et al.","2018","Atlantic, Northeast","Serrivomer beanii","Serrivomeridae","Serrivomer","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.9,20,"None","NaOH","Visual","FTIR","yes","yes","yes","yes","Methyl cellulose","Black","no",NA,6954.64,NA,NA,14,13.0004,33.04,NA,NA,496.76,NA,NA,0.9286,2.36,NA,"Wieczorek et al.2018"
"471","Wieczorek et al.","2018","Atlantic, Northeast","Stomias boa boa","Stomiidae","Stomias","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",4,20,"None","NaOH","Visual","FTIR","yes","yes","yes","yes","Methyl cellulose","Black","no",NA,632.79,NA,NA,9,6.0003,11.97,NA,NA,70.31,NA,NA,0.6667,1.33,NA,"Wieczorek et al.2018"
"472","Zhu et al.","2019","Pacific, Northwest","Acanthopagrus latus","Sparidae","Acanthopagrus","Demersal","Subtropical","Data deficient","","",3.8,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","","White","no",NA,NA,880.5,NA,15,15,61.5,116.25,NA,NA,58.7,NA,1,4.1,7.75,"Zhu et al.2019"
"473","Zhu et al.","2019","Pacific, Northwest","Acanthopagrus schlegelii","Sparidae","Acanthopagrus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.2,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","","White","no",NA,NA,77.4,NA,3,3,6,3.63,NA,NA,25.8,NA,1,2,1.21,"Zhu et al.2019"
"474","Zhu et al.","2019","Pacific, Northwest","Konosirus punctatus","Clupeidae","Planiliza","Pelagic-neritic","Subtropical","Least Concern","","",2.9,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","","White","no",NA,NA,237,NA,3,3,6,1.05,NA,NA,79,NA,1,2,0.35,"Zhu et al.2019"
"475","Zhu et al.","2019","Pacific, Northwest","Perca fluviatilis","Percidae","Perca","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",4.4,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","","White","no",NA,NA,1568.4,NA,6,6,31.8,20.58,NA,NA,261.4,NA,1,5.3,3.43,"Zhu et al.2019"
"476","Zhu et al.","2019","Pacific, Northwest","Planiliza affinis","Mugilidae","Planiliza","Pelagic-neritic","Subtropical","Not Evaluated","","",2,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","","White","no",NA,NA,131.6,NA,4,4,131.6,7.2,NA,NA,32.9,NA,1,32.9,1.8,"Zhu et al.2019"
"477","Zhu et al.","2019","Pacific, Northwest","Rhinogobius giurinus","Gobiidae","Rhinogobius","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.2,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","","White","no",NA,NA,136,NA,16,16,73.6,83.2,NA,NA,8.5,NA,1,4.6,5.2,"Zhu et al.2019"
"478","Zhu et al.","2019","Pacific, Northwest","Scatophagus argus","Scatophagidae","Scatophagus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","","White","no",NA,NA,318.6,NA,3,3,42,14.04,NA,NA,106.2,NA,1,14,4.68,"Zhu et al.2019"
"479","Zhu et al.","2019","Pacific, Northwest","Sillago sihama","Sillaginidae","Sillago","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.3,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","","White","no",NA,NA,78.4,NA,4,4,6.8,4,NA,NA,19.6,NA,1,1.7,1,"Zhu et al.2019"
"480","Zhu et al.","2019","Pacific, Northwest","Terapon theraps","Terapontidae","Terapon","Reef-associated","Tropical","Least Concern","","",3.5,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","","White","no",NA,NA,60.3,NA,3,3,17.1,9.36,NA,NA,20.1,NA,1,5.7,3.12,"Zhu et al.2019"
